Sample Index,Is OOD,Mahalanobis Distance
0,False,1.7801195031787655
1,False,2.1820067161425705
2,False,2.9930277131576863
3,False,2.012212628308701
4,False,1.6721272250679695
5,False,4.2334085173010765
6,False,3.6156704601336083
7,False,1.3454973163124817
8,False,1.5123484393181463
9,False,2.6448910703078243
10,False,1.817427876377733
11,False,1.9483257416023214
12,False,2.1198496494058383
13,False,2.8907708242371
14,False,1.6768294725475523
15,False,4.8392815083685585
16,False,2.079219928093271
17,False,2.6551072400474474
18,False,1.6445901210620986
19,False,2.68959146935874
20,False,1.442327940699413
21,False,2.284624638230361
22,False,1.9050330161514915
23,False,1.5249819942342444
24,False,1.9941669840873804
25,False,2.5883004764278565
26,False,3.643276986055994
27,False,2.5178609082383603
28,False,1.6792849561442507
29,False,2.3090470183549963
30,False,4.0359020444340645
31,False,1.7436792846004734
32,False,2.038507360403207
33,False,2.337281297509202
34,False,2.9143665160535916
35,False,1.5346450413761366
36,False,2.5237746317313237
37,False,2.240839501765131
38,False,2.90286564785642
39,False,3.3994424708114392
40,False,1.4290184680648224
41,False,2.6009238799145225
42,False,2.575065274397858
43,False,1.6782324544345404
44,False,2.8421421608658055
45,False,1.8221332540396857
46,False,1.544295359269061
47,False,3.7694515133655844
48,False,1.489502037904031
49,True,7.987264428822987
50,False,2.0490754934721807
51,False,1.650069350603331
52,False,3.1824311303757016
53,False,2.2208592281425545
54,False,2.304354330402319
55,False,1.8332650835051911
56,False,2.7804497371597408
57,False,1.5379726778674072
58,False,4.137579189945536
59,False,2.200709459439806
60,False,2.930642506774855
61,False,1.9532345209241362
62,False,4.110910018042432
63,False,1.568551024495351
64,False,5.128401702955368
65,False,2.974480775057719
66,False,2.303960777370834
67,False,1.4938414314549329
68,True,5.82880989216135
69,False,1.5200854882405668
70,True,1703.3291804196729
71,False,1.9200285999772961
72,True,33.219055598613274
73,False,1.4243215747073816
74,False,1.5807457789305557
75,False,4.878557910922889
76,False,1.7946075198144342
77,True,6.133313225770305
78,False,3.606544254178237
79,False,2.5968305355087633
80,False,2.8949835173718705
81,False,1.7450366108149302
82,False,1.4803411860492626
83,False,3.569715038133257
84,False,1.848280953597548
85,False,2.374480909219536
86,False,1.6582859063365802
87,False,3.6935663658805824
88,False,2.6809913400147862
89,False,3.829632084399155
90,False,2.83513336663634
91,False,1.8822013628799692
92,False,1.7320953624223974
93,False,5.024075586418396
94,False,2.0538025543822744
95,False,1.417381419149432
96,False,3.396136831932807
97,False,2.1838002592521524
98,False,4.625323065248984
99,False,3.1155968799524865
100,True,36.001547961218485
101,False,3.1640923868496174
102,False,1.876271385690995
103,False,1.9935181148784284
104,False,2.9064576269396003
105,True,7.362500982774406
106,False,1.6754287358084667
107,False,1.3902849621220255
108,False,4.870153097262261
109,False,2.657670660760047
110,False,2.1134786438256445
111,False,1.514633690894162
112,False,1.987618755347635
113,False,1.5950347404827572
114,False,2.7637543002358766
115,False,1.3925380304892818
116,False,2.329392020978731
117,False,5.226186130440238
118,False,3.7443567944302463
119,False,2.3534064045734966
120,False,2.0786468170497994
121,False,2.418085656682302
122,False,1.7647777878901012
123,False,2.7310521454700853
124,False,2.232609596747081
125,False,2.2982989345738223
126,False,2.3001079092466536
127,False,2.2522631530656074
128,False,2.315514466703221
129,False,2.437517185866171
130,False,1.9929993670644306
131,False,4.02540908795731
132,False,1.8828353561706408
133,False,1.9005955217263606
134,False,1.9679323475646644
135,False,1.358026187814578
136,False,2.357704877271173
137,False,2.735357528368933
138,False,5.127313855323912
139,False,2.8862515837969482
140,False,2.0812273730331365
141,False,3.0055219033246385
142,False,2.9443480377967717
143,False,3.282744253440679
144,False,2.733281207904712
145,False,2.0974911159723764
146,False,1.7453405366831882
147,False,1.7469100300667892
148,False,1.6780345822638096
149,False,2.0950472249601635
150,False,4.963438673563613
151,False,3.548020313316733
152,False,1.905731140628381
153,False,2.9154853944744206
154,False,2.2546417355301878
155,False,2.53918707197241
156,False,3.9957026175898522
157,False,4.704749395625233
158,False,1.7209551591760355
159,False,2.432014399125051
160,False,5.002063817642936
161,False,1.9591582260694351
162,False,1.9042345638312899
163,False,2.3736563029675755
164,False,2.2174009585612082
165,False,2.059828228463718
166,True,9.290054228429248
167,False,1.4804710728117132
